id,nome,categoria,preco,estoque,fornecedor
453,Ducimus Fuga,Beleza,122.5,898,Costela Lima Ltda.
454,Nam Ullam,Bebidas,202.96,288,Oliveira
455,Quos Maiores,Esportes,33.19,582,Gomes
456,Officiis Aut,Livros,482.55,579,Cardoso S/A
457,Architecto Incidunt,Esportes,269.77,178,da Cunha
458,Id Optio,Roupas,214.58,654,Silva Sales S/A
459,Id Sit,Alimentos,213.75,652,Campos Teixeira e Filhos
460,Minima Veniam,Eletrônicos,148.81,70,Costa
461,Accusantium Repellat,Saúde,468.43,884,Barbosa
462,Natus Magni,Roupas,368.29,608,Monteiro
463,Reiciendis Laboriosam,Eletrônicos,130.56,948,Peixoto Santos S.A.
464,Aut Quam,Saúde,480.44,805,Teixeira
465,Iusto Perspiciatis,Alimentos,199.0,848,da Mota Correia - ME
466,Nemo Distinctio,Esportes,444.93,90,Nascimento
467,Ipsum Quas,Beleza,325.94,483,Duarte
468,Amet Saepe,Casa,182.73,853,das Neves Carvalho Ltda.
469,Quae Enim,Beleza,436.57,238,Oliveira
470,Hic Error,Esportes,121.68,947,Cardoso - EI
471,Dolores Impedit,Casa,151.59,254,Monteiro e Filhos
472,Molestiae Magnam,Roupas,368.42,681,Ramos
473,Quod Necessitatibus,Beleza,463.93,104,Oliveira S/A
474,Velit Nesciunt,Saúde,376.82,437,Silva
475,Quibusdam Eum,Brinquedos,97.76,601,Oliveira
476,Quam Debitis,Esportes,368.82,558,Melo Cavalcanti - ME
477,Sed Ipsa,Casa,142.83,8,Ferreira Campos S/A
478,Voluptate Quaerat,Saúde,122.03,503,das Neves Pires S/A
479,Error Nam,Eletrônicos,428.08,506,Ribeiro S.A.
480,Minus Voluptates,Bebidas,310.38,735,Nogueira e Filhos
481,Tempore Impedit,Esportes,413.09,366,Vieira
482,Saepe Recusandae,Beleza,148.22,212,Melo
483,Dolores Eos,Casa,90.4,270,Viana
484,Quas Error,Roupas,407.7,397,Monteiro S.A.
485,Illum Autem,Bebidas,153.4,75,Campos
486,In Minus,Livros,260.07,727,Moreira
487,Distinctio Iure,Brinquedos,377.91,763,Cardoso Barbosa - ME
488,Sit Ab,Roupas,304.33,876,Lima Monteiro S.A.
489,Ipsa Modi,Esportes,15.38,147,Gomes Barbosa S.A.
490,Minima Cumque,Alimentos,133.85,312,Melo
491,Exercitationem Dolorum,Bebidas,99.5,466,da Conceição
492,Adipisci Labore,Livros,118.49,514,Moreira
493,Sed Explicabo,Livros,55.02,477,Ramos
494,Ratione Molestias,Beleza,314.76,930,da Conceição Santos S/A
495,Saepe Animi,Roupas,88.83,483,Cardoso Jesus - ME
496,Hic Voluptatem,Roupas,252.13,97,Costela
497,Blanditiis Sapiente,Brinquedos,399.58,297,Mendes Porto Ltda.
498,Molestias Enim,Alimentos,108.49,582,Nogueira Nunes Ltda.
499,Ipsam Assumenda,Bebidas,215.04,653,Dias
500,Voluptate Atque,Roupas,162.68,888,Teixeira Jesus S.A.
