id,nome,categoria,preco,estoque,fornecedor
452,Error Illum,Brinquedos,44.66,472,Silveira Dias - EI
453,Voluptatibus Similique,Saúde,300.22,729,Alves
454,Beatae Esse,Saúde,372.09,639,Carvalho Araújo - ME
455,Temporibus Laboriosam,Casa,160.17,380,Campos S/A
456,Quia Soluta,Casa,232.64,962,Gonçalves
457,Necessitatibus Dicta,Beleza,62.35,178,Santos
458,Quaerat Dicta,Casa,181.0,81,Campos da Conceição e Filhos
459,Rerum Voluptatum,Beleza,123.52,656,Ramos S/A
460,Odit Voluptatem,Casa,259.23,54,Nascimento
461,Necessitatibus Expedita,Eletrônicos,337.51,864,Carvalho Lima - ME
462,Fugiat Ad,Alimentos,20.15,98,da Cruz - ME
463,Quo Modi,Brinquedos,393.41,920,da Mata Souza - EI
464,Aperiam Deleniti,Bebidas,165.03,807,Alves
465,Harum Magni,Roupas,323.32,297,da Cunha Silva S/A
466,Odit Earum,Bebidas,352.28,207,Mendes
467,Voluptates Neque,Roupas,106.5,35,Viana
468,At Provident,Roupas,110.24,721,da Mata Campos - ME
469,Praesentium Id,Esportes,457.26,751,Silva S.A.
470,Blanditiis Odit,Livros,49.57,303,Gonçalves - EI
471,A Voluptas,Bebidas,92.42,486,Rodrigues - EI
472,Repudiandae Omnis,Esportes,443.87,7,Fogaça
473,Harum Esse,Brinquedos,215.4,597,da Mota Pereira S.A.
474,Suscipit Quasi,Saúde,417.28,625,Rodrigues
475,Nostrum Illo,Beleza,64.75,489,Martins
476,Distinctio Voluptatibus,Saúde,396.68,339,Rodrigues
477,Nobis Asperiores,Esportes,98.57,564,da Conceição Aragão Ltda.
478,Quibusdam Vero,Saúde,251.84,156,Novaes
479,Officia Temporibus,Livros,74.1,155,Fogaça e Filhos
480,Nesciunt Recusandae,Roupas,233.96,631,Duarte Barbosa - EI
481,Perferendis Delectus,Eletrônicos,67.2,557,Sales
482,Sapiente Amet,Brinquedos,366.92,811,da Costa
483,Exercitationem Reprehenderit,Esportes,289.69,524,Ramos S/A
484,Culpa Eaque,Roupas,241.45,724,Ribeiro
485,Inventore Quam,Eletrônicos,451.73,899,Souza da Mata S.A.
486,Error Voluptatibus,Alimentos,385.93,303,Nascimento
487,Molestias Dolor,Casa,180.23,278,Pereira
488,Fuga Quaerat,Livros,218.81,347,das Neves Teixeira S.A.
489,Iusto Modi,Beleza,186.5,792,Santos
490,Repellat Eos,Roupas,131.11,290,da Rocha
491,Alias Ea,Livros,256.31,889,das Neves
492,Ratione Autem,Bebidas,452.95,174,Ferreira S.A.
493,Odio Occaecati,Esportes,283.51,833,Pinto
494,Nobis Repellat,Bebidas,278.64,167,da Mata
495,Soluta Id,Eletrônicos,486.71,501,Rocha
496,Ipsum Molestias,Saúde,456.8,849,Gonçalves
497,Praesentium Doloremque,Eletrônicos,155.06,244,Fogaça Moreira - ME
498,Beatae Aspernatur,Livros,329.22,60,Azevedo
499,Quo Veniam,Brinquedos,253.36,95,Melo S/A
500,Voluptatem Cum,Bebidas,453.56,228,Moreira - EI
